House ID,Year,Month,Gas Bill (€),Electricity Bill (€)
3,2020,2,75,50
3,2020,3,80,55
3,2020,4,85,60
3,2020,5,90,65
3,2020,6,95,70
3,2020,7,100,75
3,2020,8,105,80
3,2020,9,110,85
3,2020,10,115,90
3,2020,11,120,95
3,2020,12,125,100
3,2021,1,130,105
3,2021,2,135,110
3,2021,3,140,115
3,2021,4,145,120
3,2021,5,150,125
3,2021,6,155,130
3,2021,7,160,135
3,2021,8,165,140
3,2021,9,170,145
3,2021,10,175,150
3,2021,11,180,155
3,2021,12,185,160
3,2022,1,190,165
3,2022,2,195,170
3,2022,3,200,175
3,2022,4,205,180
3,2022,5,210,185
3,2022,6,215,190
3,2022,7,220,195
3,2022,8,225,200
3,2022,9,230,205
3,2022,10,235,210
3,2022,11,240,215
3,2022,12,245,220
3,2023,1,250,225
3,2023,2,255,230
3,2023,3,260,235
3,2023,4,265,240
3,2023,5,270,245
3,2023,6,275,250
3,2023,7,280,255
3,2023,8,285,260
3,2023,9,290,265
3,2023,10,295,270
3,2023,11,300,275
3,2023,12,305,280
3,2024,1,310,285
3,2024,2,315,290
3,2024,3,320,295
3,2024,4,325,300
4,2020,1,85,60
4,2020,2,90,65
4,2020,3,95,70
4,2020,4,100,75
4,2020,5,105,80
4,2020,6,110,85
4,2020,7,115,90
4,2020,8,120,95
4,2020,9,125,100
4,2020,10,130,105
4,2020,11,135,110
4,2020,12,140,115
4,2021,1,145,120
4,2021,2,150,125
4,2021,3,155,130
4,2021,4,160,135
4,2021,5,165,140
4,2021,6,170,145
4,2021,7,175,150
4,2021,8,180,155
4,2021,9,185,160
4,2021,10,190,165
4,2021,11,195,170
4,2021,12,200,175
4,2022,1,205,180
4,2022,2,210,185
4,2022,3,215,190
4,2022,4,220,195
4,2022,5,225,200
4,2022,6,230,205
4,2022,7,235,210
4,2022,8,240,215
4,2022,9,245,220
4,2022,10,250,225
4,2022,11,255,230
4,2022,12,260,235
4,2023,1,265,240
4,2023,2,270,245
4,2023,3,275,250
4,2023,4,280,255
4,2023,5,285,260
4,2023,6,290,265
4,2023,7,295,270
4,2023,8,300,275
4,2023,9,305,280
4,2023,10,310,285
4,2023,11,315,290
4,2023,12,320,295
4,2024,1,325,300
4,2024,2,330,305
4,2024,3,335,310
4,2024,4,340,315
House ID,Year,Month,Gas Bill (€),Electricity Bill (€)
5,2020,1,95,70
5,2020,2,100,75
5,2020,3,105,80
5,2020,4,110,85
5,2020,5,115,90
5,2020,6,120,95
5,2020,7,125,100
5,2020,8,130,105
5,2020,9,135,110
5,2020,10,140,115
5,2020,11,145,120
5,2020,12,150,125
5,2021,1,155,130
5,2021,2,160,135
5,2021,3,165,140
5,2021,4,170,145
5,2021,5,175,150
5,2021,6,180,155
5,2021,7,185,160
5,2021,8,190,165
5,2021,9,195,170
5,2021,10,200,175
5,2021,11,205,180
5,2021,12,210,185
5,2022,1,215,190
5,2022,2,220,195
5,2022,3,225,200
5,2022,4,230,205
5,2022,5,235,210
5,2022,6,240,215
5,2022,7,245,220
5,2022,8,250,225
5,2022,9,255,230
5,2022,10,260,235
5,2022,11,265,240
5,2022,12,270,245
5,2023,1,275,250
5,2023,2,280,255
5,2023,3,285,260
5,2023,4,290,265
5,2023,5,295,270
5,2023,6,300,275
5,2023,7,305,280
5,2023,8,310,285
5,2023,9,315,290
5,2023,10,320,295
5,2023,11,325,300
5,2023,12,330,305
5,2024,1,335,310
5,2024,2,340,315
5,2024,3,345,320
5,2024,4,350,325
6,2020,1,100,75
6,2020,2,105,80
6,2020,3,110,85
6,2020,4,115,90
6,2020,5,120,95
6,2020,6,125,100
6,2020,7,130,105
6,2020,8,135,110
6,2020,9,140,115
6,2020,10,145,120
6,2020,11,150,125
6,2020,12,155,130
6,2021,1,160,135
6,2021,2,165,140
6,2021,3,170,145
6,2021,4,175,150
6,2021,5,180,155
6,2021,6,185,160
6,2021,7,190,165
6,2021,8,195,170
6,2021,9,200,175
6,2021,10,205,180
6,2021,11,210,185
6,2021,12,215,190
6,2022,1,220,195
6,2022,2,225,200
6,2022,3,230,205
6,2022,4,235,210
6,2022,5,240,215
6,2022,6,245,220
6,2022,7,250,225
6,2022,8,255,230
6,2022,9,260,235
6,2022,10,265,240
6,2022,11,270,245
6,2022,12,275,250
6,2023,1,280,255
6,2023,2,285,260
6,2023,3,290,265
6,2023,4,295,270
6,2023,5,300,275
6,2023,6,305,280
6,2023,7,310,285
6,2023,8,315,290
6,2023,9,320,295
6,2023,10,325,300
6,2023,11,330,305
6,2023,12,335,310
6,2024,1,340,315
6,2024,2,345,320
6,2024,3,350,325
6,2024,4,355,330
7,2020,1,105,80
7,2020,2,110,85
7,2020,3,115,90
7,2020,4,120,95
7,2020,5,125,100
7,2020,6,130,105
7,2020,7,135,110
7,2020,8,140,115
7,2020,9,145,120
7,2020,10,150,125
7,2020,11,155,130
7,2020,12,160,135
7,2021,1,165,140
7,2021,2,170,145
7,2021,3,175,150
7,2021,4,180,155
7,2021,5,185,160
7,2021,6,190,165
7,2021,7,195,170
7,2021,8,200,175
7,2021,9,205,180
7,2021,10,210,185
7,2021,11,215,190
7,2021,12,220,195
7,2022,1,225,200
7,2022,2,230,205
7,2022,3,235,210
7,2022,4,240,215
7,2022,5,245,220
7,2022,6,250,225
7,2022,7,255,230
7,2022,8,260,235
7,2022,9,265,240
7,2022,10,270,245
7,2022,11,275,250
7,2022,12,280,255
7,2023,1,285,260
7,2023,2,290,265
7,2023,3,295,270
7,2023,4,300,275
7,2023,5,305,280
7,2023,6,310,285
7,2023,7,315,290
7,2023,8,320,295
7,2023,9,325,300
7,2023,10,330,305
7,2023,11,335,310
7,2023,12,340,315
7,2024,1,345,320
7,2024,2,350,325
7,2024,3,355,330
7,2024,4,360,335
8,2020,1,110,85
8,2020,2,115,90
8,2020,3,120,95
8,2020,4,125,100
8,2020,5,130,105
8,2020,6,135,110
8,2020,7,140,115
8,2020,8,145,120
8,2020,9,150,125
8,2020,10,155,130
8,2020,11,160,135
8,2020,12,165,140
8,2021,1,170,145
8,2021,2,175,150
8,2021,3,180,155
8,2021,4,185,160
8,2021,5,190,165
8,2021,6,195,170
8,2021,7,200,175
8,2021,8,205,180
8,2021,9,210,185
8,2021,10,215,190
8,2021,11,220,195
8,2021,12,225,200
8,2022,1,230,205
8,2022,2,235,210
8,2022,3,240,215
8,2022,4,245,220
8,2022,5,250,225
8,2022,6,255,230
8,2022,7,260,235
8,2022,8,265,240
8,2022,9,270,245
8,2022,10,275,250
8,2022,11,280,255
8,2022,12,285,260
8,2023,1,290,265
8,2023,2,295,270
8,2023,3,300,275
8,2023,4,305,280
8,2023,5,310,285
8,2023,6,315,290
8,2023,7,320,295
8,2023,8,325,300
8,2023,9,330,305
8,2023,10,335,310
8,2023,11,340,315
8,2023,12,345,320
8,2024,1,350,325
8,2024,2,355,330
8,2024,3,360,335
8,2024,4,365,340
9,2020,1,115,90
9,2020,2,120,95
9,2020,3,125,100
9,2020,4,130,105
9,2020,5,135,110
9,2020,6,140,115
9,2020,7,145,120
9,2020,8,150,125
9,2020,9,155,130
9,2020,10,160,135
9,2020,11,165,140
9,2020,12,170,145
9,2021,1,175,150
9,2021,2,180,155
9,2021,3,185,160
9,2021,4,190,165
9,2021,5,195,170
9,2021,6,200,175
9,2021,7,205,180
9,2021,8,210,185
9,2021,9,215,190
9,2021,10,220,195
9,2021,11,225,200
9,2021,12,230,205
9,2022,1,235,210
9,2022,2,240,215
9,2022,3,245,220
9,2022,4,250,225
9,2022,5,255,230
9,2022,6,260,235
9,2022,7,265,240
9,2022,8,270,245
9,2022,9,275,250
9,2022,10,280,255
9,2022,11,285,260
9,2022,12,290,265
9,2023,1,295,270
9,2023,2,300,275
9,2023,3,305,280
9,2023,4,310,285
9,2023,5,315,290
9,2023,6,320,295
9,2023,7,325,300
9,2023,8,330,305
9,2023,9,335,310
9,2023,10,340,315
9,2023,11,345,320
9,2023,12,350,325
9,2024,1,355,330
9,2024,2,360,335
9,2024,3,365,340
9,2024,4,370,345
10,2020,1,120,95
10,2020,2,125,100
10,2020,3,130,105
10,2020,4,135,110
10,2020,5,140,115
10,2020,6,145,120
10,2020,7,150,125
10,2020,8,155,130
10,2020,9,160,135
10,2020,10,165,140
10,2020,11,170,145
10,2020,12,175,150
10,2021,1,180,155
10,2021,2,185,160
10,2021,3,190,165
10,2021,4,195,170
10,2021,5,200,175
10,2021,6,205,180
10,2021,7,210,185
10,2021,8,215,190
10,2021,9,220,195
10,2021,10,225,200
10,2021,11,230,205
10,2021,12,235,210
10,2022,1,240,215
10,2022,2,245,220
10,2022,3,250,225
10,2022,4,255,230
10,2022,5,260,235
10,2022,6,265,240
10,2022,7,270,245
10,2022,8,275,250
10,2022,9,280,255
10,2022,10,285,260
10,2022,11,290,265
10,2022,12,295,270
10,2023,1,300,275
10,2023,2,305,280
10,2023,3,310,285
10,2023,4,315,290
10,2023,5,320,295
10,2023,6,325,300
10,2023,7,330,305
10,2023,8,335,310
10,2023,9,340,315
10,2023,10,345,320
10,2023,11,350,325
10,2023,12,355,330
10,2024,1,360,335
10,2024,2,365,340
10,2024,3,370,345
10,2024,4,375,350
House ID,Year,Month,Gas Bill (€),Electricity Bill (€)
11,2020,1,140,115
11,2020,2,145,120
11,2020,3,150,125
11,2020,4,155,130
11,2020,5,160,135
11,2020,6,165,140
11,2020,7,170,145
11,2020,8,175,150
11,2020,9,180,155
11,2020,10,185,160
11,2020,11,190,165
11,2020,12,195,170
11,2021,1,200,175
11,2021,2,205,180
11,2021,3,210,185
11,2021,4,215,190
11,2021,5,220,195
11,2021,6,225,200
11,2021,7,230,205
11,2021,8,235,210
11,2021,9,240,215
11,2021,10,245,220
11,2021,11,250,225
11,2021,12,255,230
11,2022,1,260,235
11,2022,2,265,240
11,2022,3,270,245
11,2022,4,275,250
11,2022,5,280,255
11,2022,6,285,260
11,2022,7,290,265
11,2022,8,295,270
11,2022,9,300,275
11,2022,10,305,280
11,2022,11,310,285
11,2022,12,315,290
11,2023,1,320,295
11,2023,2,325,300
11,2023,3,330,305
11,2023,4,335,310
11,2023,5,340,315
11,2023,6,345,320
11,2023,7,350,325
11,2023,8,355,330
11,2023,9,360,335
11,2023,10,365,340
11,2023,11,370,345
11,2023,12,375,350
11,2024,1,380,355
11,2024,2,385,360
11,2024,3,390,365
11,2024,4,395,370
12,2020,1,145,120
12,2020,2,150,125
12,2020,3,155,130
12,2020,4,160,135
12,2020,5,165,140
12,2020,6,170,145
12,2020,7,175,150
12,2020,8,180,155
12,2020,9,185,160
12,2020,10,190,165
12,2020,11,195,170
12,2020,12,200,175
12,2021,1,205,180
12,2021,2,210,185
12,2021,3,215,190
12,2021,4,220,195
12,2021,5,225,200
12,2021,6,230,205
12,2021,7,235,210
12,2021,8,240,215
12,2021,9,245,220
12,2021,10,250,225
12,2021,11,255,230
12,2021,12,260,235
12,2022,1,265,240
12,2022,2,270,245
12,2022,3,275,250
12,2022,4,280,255
12,2022,5,285,260
12,2022,6,290,265
12,2022,7,295,270
12,2022,8,300,275
12,2022,9,305,280
12,2022,10,310,285
12,2022,11,315,290
12,2022,12,320,295
12,2023,1,325,300
12,2023,2,330,305
12,2023,3,335,310
12,2023,4,340,315
12,2023,5,345,320
12,2023,6,350,325
12,2023,7,355,330
12,2023,8,360,335
12,2023,9,365,340
12,2023,10,370,345
12,2023,11,375,350
12,2023,12,380,355
12,2024,1,385,360
12,2024,2,390,365
12,2024,3,395,370
12,2024,4,400,375
13,2020,1,150,125
13,2020,2,155,130
13,2020,3,160,135
13,2020,4,165,140
13,2020,5,170,145
13,2020,6,175,150
13,2020,7,180,155
13,2020,8,185,160
13,2020,9,190,165
13,2020,10,195,170
13,2020,11,200,175
13,2020,12,205,180
13,2021,1,210,185
13,2021,2,215,190
13,2021,3,220,195
13,2021,4,225,200
13,2021,5,230,205
13,2021,6,235,210
13,2021,7,240,215
13,2021,8,245,220
13,2021,9,250,225
13,2021,10,255,230
13,2021,11,260,235
13,2021,12,265,240
13,2022,1,270,245
13,2022,2,275,250
13,2022,3,280,255
13,2022,4,285,260
13,2022,5,290,265
13,2022,6,295,270
13,2022,7,300,275
13,2022,8,305,280
13,2022,9,310,285
13,2022,10,315,290
13,2022,11,320,295
13,2022,12,325,300
13,2023,1,330,305
13,2023,2,335,310
13,2023,3,340,315
13,2023,4,345,320
13,2023,5,350,325
13,2023,6,355,330
13,2023,7,360,335
13,2023,8,365,340
13,2023,9,370,345
13,2023,10,375,350
13,2023,11,380,355
13,2023,12,385,360
13,2024,1,390,365
13,2024,2,395,370
13,2024,3,400,375
13,2024,4,405,380
14,2020,1,155,130
14,2020,2,160,135
14,2020,3,165,140
14,2020,4,170,145
14,2020,5,175,150
14,2020,6,180,155
14,2020,7,185,160
14,2020,8,190,165
14,2020,9,195,170
14,2020,10,200,175
14,2020,11,205,180
14,2020,12,210,185
14,2021,1,215,190
14,2021,2,220,195
14,2021,3,225,200
14,2021,4,230,205
14,2021,5,235,210
14,2021,6,240,215
14,2021,7,245,220
14,2021,8,250,225
14,2021,9,255,230
14,2021,10,260,235
14,2021,11,265,240
14,2021,12,270,245
14,2022,1,275,250
14,2022,2,280,255
14,2022,3,285,260
14,2022,4,290,265
14,2022,5,295,270
14,2022,6,300,275
14,2022,7,305,280
14,2022,8,310,285
14,2022,9,315,290
14,2022,10,320,295
14,2022,11,325,300
14,2022,12,330,305
14,2023,1,335,310
14,2023,2,340,315
14,2023,3,345,320
14,2023,4,350,325
14,2023,5,355,330
14,2023,6,360,335
14,2023,7,365,340
14,2023,8,370,345
14,2023,9,375,350
14,2023,10,380,355
14,2023,11,385,360
14,2023,12,390,365
14,2024,1,395,370
14,2024,2,400,375
14,2024,3,405,380
14,2024,4,410,385
15,2020,1,160,135
15,2020,2,165,140
15,2020,3,170,145
15,2020,4,175,150
15,2020,5,180,155
15,2020,6,185,160
15,2020,7,190,165
15,2020,8,195,170
15,2020,9,200,175
15,2020,10,205,180
15,2020,11,210,185
15,2020,12,215,190
15,2021,1,220,195
15,2021,2,225,200
15,2021,3,230,205
15,2021,4,235,210
15,2021,5,240,215
15,2021,6,245,220
15,2021,7,250,225
15,2021,8,255,230
15,2021,9,260,235
15,2021,10,265,240
15,2021,11,270,245
15,2021,12,275,250
15,2022,1,280,255
15,2022,2,285,260
15,2022,3,290,265
15,2022,4,295,270
15,2022,5,300,275
15,2022,6,305,280
15,2022,7,310,285
15,2022,8,315,290
15,2022,9,320,295
15,2022,10,325,300
15,2022,11,330,305
15,2022,12,335,310
15,2023,1,340,315
15,2023,2,345,320
15,2023,3,350,325
15,2023,4,355,330
15,2023,5,360,335
15,2023,6,365,340
15,2023,7,370,345
15,2023,8,375,350
15,2023,9,380,355
15,2023,10,385,360
15,2023,11,390,365
15,2023,12,395,370
15,2024,1,400,375
15,2024,2,405,380
15,2024,3,410,385
15,2024,4,415,390
House ID,Year,Month,Gas Bill (€),Electricity Bill (€)
16,2020,1,100,80
16,2020,2,105,85
16,2020,3,110,90
16,2020,4,115,95
16,2020,5,80,70
16,2020,6,80,70
16,2020,7,80,70
16,2020,8,80,70
16,2020,9,85,75
16,2020,10,90,80
16,2020,11,95,85
16,2020,12,100,90
16,2021,1,105,95
16,2021,2,110,100
16,2021,3,115,105
16,2021,4,120,110
16,2021,5,85,75
16,2021,6,85,75
16,2021,7,85,75
16,2021,8,85,75
16,2021,9,90,80
16,2021,10,95,85
16,2021,11,100,90
16,2021,12,105,95
16,2022,1,110,100
16,2022,2,115,105
16,2022,3,120,110
16,2022,4,125,115
16,2022,5,90,80
16,2022,6,90,80
16,2022,7,90,80
16,2022,8,90,80
16,2022,9,95,85
16,2022,10,100,90
16,2022,11,105,95
16,2022,12,110,100
16,2023,1,115,105
16,2023,2,120,110
16,2023,3,125,115
16,2023,4,130,120
16,2023,5,95,85
16,2023,6,95,85
16,2023,7,95,85
16,2023,8,95,85
16,2023,9,100,90
16,2023,10,105,95
16,2023,11,110,100
16,2023,12,115,105
16,2024,1,120,110
16,2024,2,125,115
16,2024,3,130,120
16,2024,4,135,125
17,2020,1,105,85
17,2020,2,110,90
17,2020,3,115,95
17,2020,4,120,100
17,2020,5,85,75
17,2020,6,85,75
17,2020,7,85,75
17,2020,8,85,75
17,2020,9,90,80
17,2020,10,95,85
17,2020,11,100,90
17,2020,12,105,95
17,2021,1,110,100
17,2021,2,115,105
17,2021,3,120,110
17,2021,4,125,115
17,2021,5,90,80
17,2021,6,90,80
17,2021,7,90,80
17,2021,8,90,80
17,2021,9,95,85
17,2021,10,100,90
17,2021,11,105,95
17,2021,12,110,100
17,2022,1,115,105
17,2022,2,120,110
17,2022,3,125,115
17,2022,4,130,120
17,2022,5,95,85
17,2022,6,95,85
17,2022,7,95,85
17,2022,8,95,85
17,2022,9,100,90
17,2022,10,105,95
17,2022,11,110,100
17,2022,12,115,105
17,2023,1,120,110
17,2023,2,125,115
17,2023,3,130,120
17,2023,4,135,125
17,2023,5,100,90
17,2023,6,100,90
17,2023,7,100,90
17,2023,8,100,90
17,2023,9,105,95
17,2023,10,110,100
17,2023,11,115,105
17,2023,12,120,110
17,2024,1,125,115
17,2024,2,130,120
17,2024,3,135,125
17,2024,4,140,130
18,2020,1,110,90
18,2020,2,115,95
18,2020,3,120,100
18,2020,4,125,105
18,2020,5,90,80
18,2020,6,90,80
18,2020,7,90,80
18,2020,8,90,80
18,2020,9,95,85
18,2020,10,100,90
18,2020,11,105,95
18,2020,12,110,100
18,2021,1,115,105
18,2021,2,120,110
18,2021,3,125,115
18,2021,4,130,120
18,2021,5,95,85
18,2021,6,95,85
18,2021,7,95,85
18,2021,8,95,85
18,2021,9,100,90
18,2021,10,105,95
18,2021,11,110,100
18,2021,12,115,105
18,2022,1,120,110
18,2022,2,125,115
18,2022,3,130,120
18,2022,4,135,125
18,2022,5,100,90
18,2022,6,100,90
18,2022,7,100,90
18,2022,8,100,90
18,2022,9,105,95
18,2022,10,110,100
18,2022,11,115,105
18,2022,12,120,110
18,2023,1,125,115
18,2023,2,130,120
18,2023,3,135,125
18,2023,4,140,130
18,2023,5,105,95
18,2023,6,105,95
18,2023,7,105,95
18,2023,8,105,95
18,2023,9,110,100
18,2023,10,115,105
18,2023,11,120,110
18,2023,12,125,115
18,2024,1,130,120
18,2024,2,135,125
18,2024,3,140,130
18,2024,4,145,135
19,2020,1,115,95
19,2020,2,120,100
19,2020,3,125,105
19,2020,4,130,110
19,2020,5,95,85
19,2020,6,95,85
19,2020,7,95,85
19,2020,8,95,85
19,2020,9,100,90
19,2020,10,105,95
19,2020,11,110,100
19,2020,12,115,105
19,2021,1,120,110
19,2021,2,125,115
19,2021,3,130,120
19,2021,4,135,125
19,2021,5,100,90
19,2021,6,100,90
19,2021,7,100,90
19,2021,8,100,90
19,2021,9,105,95
19,2021,10,110,100
19,2021,11,115,105
19,2021,12,120,110
19,2022,1,125,115
19,2022,2,130,120
19,2022,3,135,125
19,2022,4,140,130
19,2022,5,105,95
19,2022,6,105,95
19,2022,7,105,95
19,2022,8,105,95
19,2022,9,110,100
19,2022,10,115,105
19,2022,11,120,110
19,2022,12,125,115
19,2023,1,130,120
19,2023,2,135,125
19,2023,3,140,130
19,2023,4,145,135
19,2023,5,110,100
19,2023,6,110,100
19,2023,7,110,100
19,2023,8,110,100
19,2023,9,115,105
19,2023,10,120,110
19,2023,11,125,115
19,2023,12,130,120
19,2024,1,135,125
19,2024,2,140,130
19,2024,3,145,135
19,2024,4,150,140
20,2020,1,120,100
20,2020,2,125,105
20,2020,3,130,110
20,2020,4,135,115
20,2020,5,100,90
20,2020,6,100,90
20,2020,7,100,90
20,2020,8,100,90
20,2020,9,105,95
20,2020,10,110,100
20,2020,11,115,105
20,2020,12,120,110
20,2021,1,125,115
20,2021,2,130,120
20,2021,3,135,125
20,2021,4,140,130
20,2021,5,105,95
20,2021,6,105,95
20,2021,7,105,95
20,2021,8,105,95
20,2021,9,110,100
20,2021,10,115,105
20,2021,11,120,110
20,2021,12,125,115
20,2022,1,130,120
20,2022,2,135,125
20,2022,3,140,130
20,2022,4,145,135
20,2022,5,110,100
20,2022,6,110,100
20,2022,7,110,100
20,2022,8,110,100
20,2022,9,115,105
20,2022,10,120,110
20,2022,11,125,115
20,2022,12,130,120
20,2023,1,135,125
20,2023,2,140,130
20,2023,3,145,135
20,2023,4,150,140
20,2023,5,115,105
20,2023,6,115,105
20,2023,7,115,105
20,2023,8,115,105
20,2023,9,120,110
20,2023,10,125,115
20,2023,11,130,120
20,2023,12,135,125
20,2024,1,140,130
20,2024,2,145,135
20,2024,3,150,140
20,2024,4,155,145
